date,precipitation
2016-01-01,4.058550912884526
2016-01-02,0.0
2016-01-03,2.147612327176777
2016-01-04,0.0
2016-01-05,1.9026588471740509
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.18563165635561008
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.06877745806461734
2016-01-19,3.7244942998915973
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,4.0239464822379825
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.0
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,3.230172290903521
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.36153712374162295
2016-02-27,0.0
2016-02-28,0.5116676354900928
2016-02-29,0.0
2016-03-01,7.235505163930847
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-05,7.235505163930847
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,6.618500470891176
2016-03-09,1.4019900251345556
2016-03-10,0.0
2016-03-11,0.0
2016-03-12,2.6059785487880247
2016-03-13,19.16187472662929
2016-03-14,6.779172965863682
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,7.315511658554462
2016-03-18,5.772635497670662
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,9.616499746151844
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,20.29802496999073
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,1.3058639821516551
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,6.859783139613994
2016-03-31,0.0
2016-04-01,7.340724738001004
2016-04-02,6.155318949471884
2016-04-03,2.571734947417778
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,16.356107499200856
2016-04-07,0.0
2016-04-08,0.0
2016-04-09,18.22322866091075
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,17.488889233201615
2016-04-16,0.0
2016-04-17,6.997353243245584
2016-04-18,0.0
2016-04-19,2.0327478200103917
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,4.246945521573239
2016-04-26,0.0
2016-04-27,0.0
